Stat,Sheet,Formula,Notes
Faab,transactions,FAAB the winning manager spent to land this waiver claim. = the winning claim's waiver_bid; 0 for free-agent / commissioner adds.,Populated only on waiver rows.
Total FAAB bid,transactions,"Total FAAB the whole league bid on this player this week. Sum of every claim's waiver_bid, winning and losing.",The winning bid sits on top of this stack.
FAAB difference over second place,transactions,How much the winning bid beat the next-highest valid bid. winning_bid − max(other valid bids ≤ winning_bid).,Bids above the winning bid were invalid (roster full / short on FAAB) and are ignored. Blank for uncontested waivers.
FAAB premium %,transactions,"The winner's markup over the runner-up, as a share of the winning bid (so it's comparable across big and small bids). (winning_bid − runner_up) / winning_bid × 100.",0–100; 100 against a $0 runner-up. Blank with no valid runner-up.
Number of bids,transactions,"How many managers tried to claim this player this week. Count of every waiver attempt, winning and losing.","Measures interest, not wins."
Average PPG on team,transactions,Fantasy points per game the added player produced while on this team. Mean nflverse PPR points over NFL games from the pickup Date to the next drop/trade (open-ended if still rostered).,"Every week in the window counts, started or benched. Falls back to player_week when nflverse has no record."
Average PPG of dropped player over same time,transactions,The dropped player's points per game over that same window — what you'd have gotten by keeping him. Mean nflverse points from pickup to the added player's next drop/trade.,Blank with no dropped player or no games in the window.
PPG of 5 games before pickup,transactions,The added player's recent form just before you got him. Mean points over his 5 most-recent PLAYED NFL games before the pickup (fewer than 5 → averages what exists).,
Difference of averages,transactions,How much more the added player scored than the dropped one over the added player's tenure. Average PPG on team − Average PPG of dropped player over same time.,A missing side counts as 0.
Difference of averages adjusted by position,transactions,"Same added-minus-dropped PPG gap, but each side scaled for its position so a 12-PPG TE isn't judged like a 12-PPG QB. Each PPG × (league starter avg / position avg).",Position averages are all-time starter averages from player_week.
Age difference,transactions,"Age gap between the added and dropped players. added age − dropped age in decimal years, at the pickup date.",Negative = the team got younger.
Cuff at time of pickup?,transactions,"Was this pickup a handcuff to a stud the team already had? TRUE if the team still rosters a same-NFL-team, same-position STARTER (started in the pickup week or the 2 before) who averaged 10+ more PPG over the last 5 played games.",The stud must still be rostered at pickup to count.
Weeks between pickup and start,transactions,How many weeks the added player sat on the bench before his first start for this team. Count of rostered non-starter weeks between the pickup and that first start.,Blank if he was dropped/traded before ever starting.
Number of starts before next drop,transactions,How many weeks the added player started for this team before leaving it. Count of started weeks between the pickup and the next drop/trade.,"If never dropped, counts starts through the end of the data."
Length of tenure on team,transactions,"How long the added player stayed on this team, in days. Pickup Date to the next drop/trade off this team, or to today if still rostered.",Blank on a pure drop (no added player); a same-day add-and-move stays 0.
% of starts made while rostered,transactions,Share of his rostered weeks the added player actually started. Number of starts before next drop / weeks rostered over the tenure.,Bye and injury weeks stay in the denominator (gross start rate).
Injury adjusted % of starts made while rostered,transactions,Start rate counting only weeks he was available. Like '% of starts made while rostered' but drops bye/injury weeks from both top and bottom.,
Player addition value,transactions,"Overall grade of the pickup: how much it out-scored the drop, amplified by how often the player actually started, plus a handcuff bonus. (Difference of averages adjusted by position) × (1 + % of starts) × (1 + injury-adjusted % of starts) + 5 if Cuff at time of pickup?.",0 if the added player was never rostered a full NFL week; blank on a pure drop.
Points Added,transactions,Fantasy points the added player put up in the weeks he STARTED for this team. Summed from pickup to his next drop/trade; 0 if no add.,Started weeks come from player_week.
Points Lost,transactions,What the dropped player scored over exactly the weeks the added player started — the cost of starting the add instead. His real NFL points (0 for any bye/injury/DNP week); 0 if no drop or no add.,Counted from his game log wherever he actually landed.
Net points,transactions,Net started-week production the swap gained the team. Points Added − Points Lost; 0 for a pure drop.,Positive = the add out-scored the player it replaced.
Avg points added,transactions,Points Added per started week — comparable across swaps of different lengths. Points Added / started weeks (0 when none).,
Avg points lost,transactions,Points Lost per started week. Points Lost / started weeks (0 when none).,
Avg net points,transactions,Net points per started week. Net points / started weeks (0 when none).,
Avg points added adjusted by position,transactions,"Avg points added scaled for the added player's position, so cross-position swaps compare. Each week × (league starter avg / position avg) before averaging.",
Avg points lost adjusted by position,transactions,Avg points lost scaled for the dropped player's position. Each week × (league starter avg / position avg) before averaging.,
Avg net points adjusted by position,transactions,Position-normalised net of the swap. Avg points added adjusted by position − Avg points lost adjusted by position.,
KTC value of player added at deal time,transactions,The added player's dynasty trade value on the pickup date. KeepTradeCut superflex value (sf_trade_value).,Superflex (2QB league); KTC history starts ≈ April 2021. Blank before that or for an untracked player.
KTC value of player dropped at deal time,transactions,The dropped player's KTC superflex value on the transaction date.,"Blank for a pure add, an untracked player, or a pre-April-2021 date."
Net KTC value at deal time,transactions,"Dynasty value the team gained or lost on the swap, at deal time. KTC of added − KTC of dropped; a missing side counts as 0.",Superflex values.
KTC value of player added at end of season,transactions,The added player's KTC superflex value at this season's end (Monday after the championship).,Blank for a future season end or pre-history date.
KTC value of player added 1 year later,transactions,The added player's KTC superflex value one year after the transaction date.,Blank when that date is still in the future.
KTC value of player added 2 years later,transactions,The added player's KTC superflex value two years after the transaction date.,Blank when that date is still in the future.
KTC value of player dropped at end of season,transactions,The dropped player's KTC superflex value at this season's end — did dropping him turn out to be a mistake? Monday after the championship.,Blank for a future/pre-history date or a pure add.
KTC value of player dropped 1 year later,transactions,The dropped player's KTC superflex value one year after the transaction date.,Blank when still in the future or a pure add.
KTC value of player dropped 2 years later,transactions,The dropped player's KTC superflex value two years after the transaction date.,Blank when still in the future or a pure add.
Net KTC value at end of season,transactions,Dynasty value the team was ahead/behind by season's end. KTC of added − KTC of dropped at season end; missing side = 0.,Superflex values.
Net KTC value 1 year later,transactions,KTC of added − KTC of dropped one year after the deal; missing side = 0.,Superflex values.
Net KTC value 2 years later,transactions,KTC of added − KTC of dropped two years after the deal; missing side = 0.,Superflex values.
Player Added,transactions,"The player this move added to the team (waiver claim, free-agent, or commissioner add). Blank on a pure-drop row.",Links to the player's player_all_time row.
Player Dropped,transactions,"The player this move dropped from the team (cut for room, or the FA-drop side). Blank when nothing was dropped.",Links to the player's player_all_time row.
type of transaction (waiver/free agency),transactions,"How the add happened: a WAIVER claim (FAAB bid), a FREE-AGENT pickup (no bid), or a COMMISSIONER add.",FAAB columns are populated for waivers only.
Date dropped/traded,transactions,The date this team later dropped or traded the added player away. First such date from the movement log.,Blank if still rostered or the row wasn't an add.
Link to next transaction (added player),transactions,"Clickable jump to the added player's NEXT move anywhere in the league. Row pointer: '#N' = transactions row, 'T#N' = trades row, 'PH#N' = picks row.",A multi-row trade counts as one event. Blank at the end of the chain or with no added player.
Link to previous transaction (added player),transactions,Clickable jump to the added player's PREVIOUS move (same '#N' / 'T#N' / 'PH#N' scheme). A drafted player's chain starts at his picks draft row.,Blank at the start of the chain or with no added player.
Link to next transaction (dropped player),transactions,Clickable jump to the dropped player's NEXT move anywhere in the league (same scheme).,Blank at the end of the chain or with no dropped player.
Link to previous transaction (dropped player),transactions,Clickable jump to the dropped player's PREVIOUS move anywhere in the league (same scheme).,Blank at the start of the chain or with no dropped player.
Number of times picked up by this team,transactions,"How many times this team has acquired this player, counting up to now. Includes trades-in; 2nd acquisition reads 2.",Ordered by date across adds and trades.
Number of times dropped by this team,transactions,"How many times this team has let this player go, counting up to now. Includes trades-away; 2nd departure reads 2.",Blank on a row that dropped no one (a pure pickup).
Tanking,transactions / trades,"How much this single move nudged the team's tank score: positive = younger and/or richer in future picks (tanking), negative = win-now. (1/6)×(age change) + (1/9)×(future-pick change) — the only two tank terms a roster move can touch. Age change rewards swapping in younger players/picks (vs the team's roster age that week); pick change round-weights future picks received minus sent (1st .25, 2nd .09, 3rd .03, 4th .01; next 3 seasons only).","Waiver/FA moves shift no picks, so their pick term is 0. Picks are aged as future rookies."
Assets received,trades,"Everything that came TO this team in the trade: players, draft picks ('2025 1.05(B. Robinson)'), and FAAB ('$N FAAB'). Semicolon-joined; FAAB is listed per sender, so a 3-team deal shows '$4 FAAB' + '$15 FAAB' rather than one lumped '$19 FAAB'.",A future pick shows its original owner ('2027 2(Oliverwkw)'); a made pick shows the player it became.
Assets sent,trades,"Everything this team GAVE UP in the trade, each attributed to the roster that actually gave it up — so in a 3+ team deal each asset is listed once per side, not claimed by every team. Semicolon-joined; FAAB summed per sending roster.",Net-zero swaps (nothing really changed hands) are dropped from trades.csv and all counts.
Number of assets received,trades,"How many players and picks this team received in the trade. Counts 'Assets received' entries; FAAB is money, not an asset, so it's excluded.",A FAAB-only haul reads 0.
Number of assets traded away,trades,How many players and picks this team gave up in the trade. Counts 'Assets sent' entries; FAAB excluded.,A FAAB-only give-up reads 0.
Total number of assets in trade,trades,"Total players and picks that changed hands in the WHOLE trade, counting each once no matter who sent or received it. FAAB excluded.","Same value on every row of a multi-team trade (the whole pot), not just this row's received + sent."
Trade impact score,trades,"Overall grade of how much a trade helped the team, dominated by games it actually swung. Weighted sum of five z-scored signals, scaled to read like an added-win total (≈ −4..+16 league-wide, most within ±2): WIN IMPACT ×2.0 + Avg net points ×0.8 + Trade addition value ×0.5 + Pick value received ×0.5 + (−Asset difference in average age) ×0.3. WIN IMPACT = games the trade flipped (weeks where the received starters vs the best players given up would have changed the win/loss), plus a value-weighted share of games flipped by later trades that reused these assets.",Renamed from 'Team performance improvement'. Uses nflverse points + team_week margins.
O-Score,transactions / trades / picks,"A single 0–100 grade for the move (~50 average, 80+ strong): average of FOUR key stats, each turned into its percentile across that sheet's rows. The four — transactions: Avg net points, Player addition value, latest KTC, % of starts made while rostered; trades: Avg net points, Trade addition value, latest KTC, Trade impact score; picks: Avg points added, pick-adjusted Player addition value, latest pick-adjusted KTC, pick-adjusted Avg career PPG adjusted by position. 'Latest KTC' = the most recent populated KTC checkpoint on the row. A value of exactly 0 (no production) ranks at the bottom of its tie so zeros cluster low.","Pure drops get a separate 0–50 score (half-scaled so a perfect drop never out-scores a good add). Blank for vet/unmade picks, one-sided untracked trades, and untracked players. Percentiles are within each sheet."
Dropped avg points,transactions,"Points-per-game the dropped player put up after you cut him — negated, so more negative = worse drop. Mean NFL points over his next 17 PLAYED games from the drop date (fewer so far → averages what exists; a real 0 = never played again).",Blank only when nothing was dropped.
Dropped total points,transactions,Total points the dropped player put up over those next 17 played games — negated (more negative = more given away). Same window as Dropped avg points.,Blank only when nothing was dropped.
KTC value difference at deal time,trades,"Which team won the deal's dynasty value on day one. Depth-adjusted KTC received − sent, superflex. DEPTH TAX: on each side the best asset counts full and each next is discounted (2nd ×0.6, 3rd ×0.6², …), since you can only start so many — so a 3-scrubs-for-1-stud package is taxed while a 1-for-1 is the raw difference. FAAB counts at the league-avg KTC-per-$.","Covers players, picks, and FAAB. Positive = this team won the deal."
KTC value difference at end of season,trades,"The same depth-adjusted received − sent KTC gap, re-checked at this season's end (Monday after the championship) — how the deal looked once the season played out.","Superflex, depth-taxed. Future/pre-history dates are blank."
KTC value difference 1 year later,trades,The depth-adjusted received − sent KTC gap one year after the trade — who's ahead a year on.,"Superflex, depth-taxed. Blank when still in the future."
KTC value difference 2 years later,trades,The depth-adjusted received − sent KTC gap two years after the trade — the long-run verdict on who won.,"Superflex, depth-taxed. Blank when still in the future."
Pick value received,trades,How much draft-pick value this team brought in — highlights pick-heavy hauls. Σ KTC of just the picks received at deal time (players excluded).,Blank when no picks were received.
Change in pick value at draft time,trades,"Whether the received picks drew a better or worse slot than expected at the trade. For each unresolved pick received: KTC once it became a rookie (Sept 1 of its draft year) − KTC at deal time, summed.",Picks whose drafts are still in the future don't contribute.
Assets retained now,trades,"Of the assets received in this trade, those the team still holds today (never traded out or dropped to FA). Picks show as 'YYYY R.SLOT(F. Last)' once drafted.",
Assets traded away,trades,"Of the assets received in this trade, those it later moved on in another TRADE (rather than dropping to FA). Whichever exit came first decides.",
Assets dropped to FA,trades,"Of the assets received in this trade, those it later DROPPED to free agency rather than trading. Picks excluded (picks can't be dropped).",From this team's later 'Player Dropped' entries after the trade date.
Return from trades,trades,What this trade's haul turned into one hop later: the received side of the next trade(s) where the team gave up any asset from this haul.,"Picks resolve to slot + drafted player where known, e.g. '2024 1.05(B. Robinson)'."
Additional assets traded away in those deals,trades,The extra cost of converting the haul: other assets given up alongside it in those immediate-next trades.,Dedups across multiple downstream hops.
Return from trades of trades...of trades. Keep going until present day,trades,"Everything this trade's haul eventually became, following each asset through every later trade to the present.",Picks display with their drafted player when known.
Asset difference in average age,trades,"Whether the trade made the team younger or older — negative = younger. mean(received asset ages) − mean(sent asset ages) at the trade date. Players use birth_date; picks count as future rookies (aged ~21-22, so further-out picks are younger).",Reports 0 when one side has no aged asset (e.g. FAAB-only).
