player,availability,rate_multiplier,note,source,as_of
Tyreek Hill,0.10,0.75,"Dislocated kneecap + multiple torn ligaments incl. ACL in Wk4 2025; two surgeries in ten months; says he has 'no power in my left leg'. Released by Miami in February and still an unsigned free agent at 32. NFL insider James Palmer: 'no guarantee that Tyreek Hill plays in 2026.'",https://www.nfl.com/news/tyreek-hill-free-agent-update-injury-no-power-left-leg,2026-08-07
Joe Mixon,0.05,1.0,"Missed all of 2025 with a foot/ankle problem the Texans GM called a 'freak medical situation'; released in March and unsigned since. Reported to have told former Bengals teammates he is done playing.",https://www.profootballrumors.com/2026/07/rb-joe-mixon-unlikely-to-make-nfl-return,2026-08-07
Ricky Pearsall,0.00,1.0,"Placed on season-ending injured reserve. Recurring PCL problem shut him down after two camp practices; six-to-twelve-month timeline after surgery.",https://sports.yahoo.com/articles/49ers-wide-receiver-ricky-pearsall-184735565.html,2026-08-07
George Kittle,0.70,0.95,"Torn Achilles in the 11 Jan playoff win over Philadelphia; opened camp on PUP. GM John Lynch optimistic he is cleared for Week 1, but an Achilles at 32 is the single largest downside risk on any contender's roster.",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/george-kittle-lands-on-pup-list-to-open-49ers-camp,2026-08-07
Patrick Mahomes,0.90,0.95,"Tore ACL and LCL in Wk15 2025, surgery the next day. Fully cleared for camp, taking first-team reps in a knee brace with no setbacks; reporting has him on track for the Week 1 opener.",https://www.nfl.com/news/chiefs-qb-patrick-mahomes-knee-fully-cleared-to-participate-in-training-camp,2026-08-07
Brandon Aiyuk,0.30,0.90,"Still on San Francisco's reserve/left-squad list where he has sat since the end of 2025. Needs to file for reinstatement and have it granted before he can play anywhere; wants Washington; 49ers face a $26m guarantee decision if he practises.",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/brandon-aiyuk-remains-determined-to-play-for-commanders,2026-08-07
Tank Dell,0.80,0.90,"Torn ACL/LCL/MCL, dislocated knee and meniscus damage cost him all of 2025. Avoided the PUP list to open camp and has been cleared to participate, but is being held out of full-team reps early.",https://www.nbcsports.com/nfl/profootballtalk/rumor-mill/news/tank-dell-avoids-pup-list-to-open-texans-camp,2026-08-07
Zach Charbonnet,0.50,1.0,"Opened camp on PUP recovering from an ACL tear.",https://www.si.com/nfl/injury-tracker-full-list-players-training-camp-pup-nfi-ir,2026-08-07
Alec Pierce,0.70,1.0,"Opened camp on PUP with an ankle injury.",https://www.si.com/nfl/injury-tracker-full-list-players-training-camp-pup-nfi-ir,2026-08-07
Michael Penix,0.40,0.85,"Eight months from ACL surgery and not yet cleared for 11-on-11; his own doctor put full clearance about four weeks away. Tua Tagovailoa is expected to start Week 1, with Penix returning as the backup.",https://www.thefalcoholic.com/atlanta-falcons-training-camp/94675/michael-penix-jr-injury-qb-says-full-medical-clearance-could-still-be-four-weeks-away-tua-tagovailoa,2026-08-07
Keenan Allen,0.30,0.85,"Unsigned free agent at 33 with no reported deal as camps opened.",https://www.espn.com/nfl/story/_/id/49490023/2026-nfl-training-camp-latest-updates-buzz-notes-news-fantasy-football,2026-08-07
Nick Chubb,0.35,0.90,"Unsigned free agent at 30 as camps opened.",https://www.espn.com/nfl/story/_/id/49490023/2026-nfl-training-camp-latest-updates-buzz-notes-news-fantasy-football,2026-08-07
Najee Harris,0.35,0.90,"Unsigned free agent as camps opened.",https://www.espn.com/nfl/story/_/id/49490023/2026-nfl-training-camp-latest-updates-buzz-notes-news-fantasy-football,2026-08-07
Jaylin Noel,0.85,1.0,"Opened camp on the active/NFI list with a finger injury; GM Nick Caserio said a couple of weeks. Not regarded as a concern for the season.",https://www.nbcsports.com/fantasy/football/player-news/2026-07-29/jaylin-noel-finger-out-a-couple-of-weeks,2026-08-07
Devin Neal,0.80,1.0,"Left a Saints camp practice early with a hamstring problem; no longer-term timeline reported.",https://www.espn.com/nfl/story/_/id/49424731/new-orleans-saints-training-camp-2026-intel-updates,2026-08-07
Brock Bowers,0.95,1.05,"Fully healthy and reported as the standout of Raiders camp after a knee injury cost him five games in 2025. Klint Kubiak's offence is built to feature him.",https://www.espn.com/nfl/story/_/id/49425032/las-vegas-raiders-training-camp-2026-intel-updates,2026-08-07
Cam Skattebo,0.92,1.0,"Recovered from the dislocated ankle that ended his rookie year; GM Joe Schoen says he is 'good to go' and he is taking the majority of first-team backfield work.",https://sports.yahoo.com/articles/giants-rb-cam-skattebos-training-172923161.html,2026-08-07
Jahmyr Gibbs,0.92,1.05,"Contract standoff ended — now the highest-paid running back in the league — and David Montgomery has left Detroit. Ranked RB1 across consensus boards; averaged 152.3 scrimmage yards in six career games without Montgomery.",https://www.yardbarker.com/nfl/articles/jahmyr_gibbs_holdout_what_his_fantasy_outlook_looks_like_for_2026/s1_17702_44141012,2026-08-07
Jeremiyah Love,0.90,1.10,"Drafted 3rd overall by Arizona and immediately the highest-paid RB in the league; projected a true three-down back commanding early-down, goal-line and receiving work in a run-leaning offence. Offsetting risks: poor offensive line, QB uncertainty, Nate Hackett coordinating.",https://www.si.com/onsi/fantasy/news/jeremiyah-love-headlines-4-must-draft-fantasy-football-rookies-for-2026,2026-08-07
Carnell Tate,0.90,1.05,"Drafted 4th overall by Tennessee and expected to be Cam Ward's primary target immediately; ranked the No. 2 rookie on six of eight consensus boards.",https://www.fantasylife.com/articles/fantasy/fantasy-football-rookie-rankings-for-2026,2026-08-07
Fernando Mendoza,0.90,0.70,"Drafted by Las Vegas as the long-term answer at QB, but projected a low-end QB2 for 2026 who may not start immediately. (Currently on Oliverwkw's taxi squad, so he is unstartable regardless.)",https://underdognetwork.com/football/fantasy-rankings/fantasy-football-rankings-for-the-2026-nfl-draft-class,2026-08-07
